text@dch1988m	@dch1988m	142.003	145.863	сформировал негативное мнение / ещё блядь расписал его в комментариях / блядь
text@dch1988m	@dch1988m	146.72	150.973	у тебя жизнь что ль бесконечная? иди блядь посмотри что-то другое / отъебись пожалуйста
text@dch1988m	@dch1988m	151.066	151.486	#вздох#
text@dch1988m	@dch1988m	161.496	164.816	а приходите на мои концерты / узнаете / а-а-а
text@dch1988m	@dch1988m	165.006	166.316	короче он про смерть
text@dch1988m	@dch1988m	166.811	167.321	естесственно
text@dch1988m	@dch1988m	168.936	172.596	а-а-а и ф... папка называется чайлфри куда я складываю все файлы
text@dch1988m	@dch1988m	175.121	175.331	да
text@dch1988m	@dch1988m	175.726	176.68	вот он про это как раз
text@dch1988m	@dch1988m	178.386	180.256	не осознанно / а как раз про то что
text@dch1988m	@dch1988m	181.111	186.151	#цокает# шесть лет сейчас / у нас как-то более-менее н... к... наконец устаканилось жизнь в плане того что мы научились
text@dch1988m	@dch1988m	186.451	188.97	зарабатывать деньги и не проёбывать их / как-то знаешь
text@dch1988m	@dch1988m	189.64	190.1	не так
text@dch1988m	@dch1988m	190.39	192.02	то есть мы вот / щас есть деньги поехать
text@dch1988m	@dch1988m	192.255	194.045	в путешестие / ни там э-э-э
text@dch1988m	@dch1988m	194.08	198.13	ни там купить пластиковой гарнитуры на кухню / а типа поехать в путешествие
text@dch1988m	@dch1988m	198.185	202.215	там э-э-э нормально поесть / не знаю / купить маме подарок на новый год хороший
text@dch1988m	@dch1988m	202.555	204.015	за всё что она вытерпела ради тебя
text@dch1988m	@dch1988m	204.015	204.6	#вдох#
text@dch1988m	@dch1988m	204.885	205.775	вот и-э-э
text@dch1988m	@dch1988m	206.07	208.88	как будто э-э-э хочется покайфовать в этом моменте
text@dch1988m	@dch1988m	209.715	210.805	а не
text@dch1988m	@dch1988m	211.015	213.155	а не вносить хаос э-и-и
text@dch1988m	@dch1988m	213.275	215.425	рожать ребёнка чтоб всё по пизде пошло опять
text@dch1988m	@dch1988m	215.58	218.57	после блядь тридцати лет как ты... ты пытался выстроить #смеётся#
text@dch1988m	@dch1988m	218.985	222.015	мы хотим щас как вот пожить / а потом может быть когда-то
text@dch1988m	@dch1988m	222.66	223.97	мы отслеживаем технологии
text@dch1988m	@dch1988m	224.315	225.275	знаешь типа-э
text@dch1988m	@dch1988m	225.785	227.505	теперь можно рожать в сорок мы такие
text@dch1988m	@dch1988m	227.945	228.855	спасибо учёные!
text@dch1988m	@dch1988m	229.01	230.37	супер! #смеётся#
text@dch1988m	@dch1988m	230.54	233.87	ну короче пока мы хотим покайфовать в этом моменте / а потом подумаем / то есть это
text@dch1988m	@dch1988m	234.245	235.415	полусознательный выбор какой-то
text@dch1988m	@dch1988m	237.56	237.8	ну
text@dch1988m	@dch1988m	238.69	240.73	в... зарождается пока эта мысль
text@dch1988m	@dch1988m	242.035	246.605	там две части / то что я очень много думаю о смерти и вторая часть про то что я пока не завожу детей
text@dch1988m	@dch1988m	247.9	248.15	м
text@dch1988m	@dch1988m	248.385	250.365	тебе стало интересней #нрзб#? #смеётся#
text@dch1988m	@dch1988m	266.062	267.352	да чо / с-с-с
text@dch1988m	@dch1988m	267.667	270.587	типа напиши шутки э какие тебе просто нр... / напиши
text@dch1988m	@dch1988m	270.927	273.967	я заметил что у меня открытый микрофон обычно нужно десять шуток
text@dch1988m	@dch1988m	274.517	275.587	условно говоря на три минуты
text@dch1988m	@dch1988m	276.462	277.822	напиши десять шуток разных
text@dch1988m	@dch1988m	278.462	280.102	не про одно а десять шуток разных
text@dch1988m	@dch1988m	280.922	282.242	выйди на открытый микрофон
text@dch1988m	@dch1988m	282.952	285.212	скорее всего ты обосрёшься / но ты поймёшь
text@dch1988m	@dch1988m	285.982	290.392	что от тебя лучше работает / что тебе доставляет удовольствие больше э-э-э рассказывать
text@dch1988m	@dch1988m	292.203	293.263	м ни раз
text@dch1988m	@dch1988m	295.708	296.218	да
text@dch1988m	@dch1988m	297.233	298.553	#нрзб#
text@dch1988m	@dch1988m	301.338	301.618	да
text@dch1988m	@dch1988m	310.554	311.524	он вообще приколист!
text@dch1988m	@dch1988m	315.909	316.129	да
text@dch1988m	@dch1988m	319.584	324.15	мы с тобой вот про Маки говорили в начале это т... тоже ты можешь сколько угодно этих книжек прочитать
text@dch1988m	@dch1988m	324.487	327.377	но пока ты не начнёшь кому-то это показывать и получать обратную связь
text@dch1988m	@dch1988m	328.107	329.287	ни хера это не сработает
text@dch1988m	@dch1988m	331.727	332.057	да
text@dch1988m	@dch1988m	338.502	340.712	но пока / ты не сходишь на открытый микрофон
text@dch1988m	@dch1988m	341.027	342.067	#смеётся#
text@dch1988m	@dch1988m	348.867	349.917	да / есть алиби
text@dch1988m	@dch1988m	350.142	351.452	есть #смеётся#
text@dch1988m	@dch1988m	352.732	354.922	есть стендап клуб номер один есть стендап стор
words@vb1988m	@vb1988m	0.0	0.25	#цокает#
words@vb1988m	@vb1988m	0.25	0.5	мы
words@vb1988m	@vb1988m	0.5	0.75	через
words@vb1988m	@vb1988m	0.75	1.0	некоторое
words@vb1988m	@vb1988m	1.0	1.25	время
words@vb1988m	@vb1988m	1.25	1.5	позадаём
words@vb1988m	@vb1988m	1.5	1.75	вопросы
words@vb1988m	@vb1988m	1.75	2.0	в-э-э-э
words@vb1988m	@vb1988m	2.0	2.25	Денису
words@vb1988m	@vb1988m	2.25	2.5	/
words@vb1988m	@vb1988m	2.5	2.75	поэтому
words@vb1988m	@vb1988m	2.75	3.0	если
words@vb1988m	@vb1988m	3.0	3.25	а
words@vb1988m	@vb1988m	3.25	3.5	у
words@vb1988m	@vb1988m	3.5	3.75	вас
words@vb1988m	@vb1988m	3.75	4.0	есть
words@vb1988m	@vb1988m	4.0	4.25	пишите
words@vb1988m	@vb1988m	4.25	4.5	в
words@vb1988m	@vb1988m	4.5	4.75	комментариях
words@vb1988m	@vb1988m	4.75	5.0	/
words@vb1988m	@vb1988m	5.0	5.26	/
words@vb1988m	@vb1988m	5.36	5.75	#вдох#
words@vb1988m	@vb1988m	5.805	6.115	есть
words@vb1988m	@vb1988m	6.115	6.425	ли
words@vb1988m	@vb1988m	6.425	6.735	у
words@vb1988m	@vb1988m	6.735	7.045	тебя
words@vb1988m	@vb1988m	7.045	7.355	какой-то
words@vb1988m	@vb1988m	7.355	7.665	хейт
words@vb1988m	@vb1988m	7.665	7.975	в
words@vb1988m	@vb1988m	7.975	8.285	интернете
words@vb1988m	@vb1988m	8.285	8.595	?
words@vb1988m	@vb1988m	8.69	8.9	сталкиваешься
words@vb1988m	@vb1988m	8.9	9.11	ли
words@vb1988m	@vb1988m	9.11	9.32	ты
words@vb1988m	@vb1988m	9.32	9.53	с
words@vb1988m	@vb1988m	9.53	9.74	ним
words@vb1988m	@vb1988m	9.74	9.95	?
words@vb1988m	@vb1988m	10.34	10.447	да
words@vb1988m	@vb1988m	10.447	10.554	/
words@vb1988m	@vb1988m	10.554	10.661	и
words@vb1988m	@vb1988m	10.661	10.768	как
words@vb1988m	@vb1988m	10.768	10.875	ты
words@vb1988m	@vb1988m	10.875	10.982	с
words@vb1988m	@vb1988m	10.982	11.089	н...
words@vb1988m	@vb1988m	11.089	11.2	и-и-и
words@vb1988m	@vb1988m	12.21	12.464	делаешь
words@vb1988m	@vb1988m	12.464	12.718	в
words@vb1988m	@vb1988m	12.718	12.972	этой
words@vb1988m	@vb1988m	12.972	13.226	ситуации
words@vb1988m	@vb1988m	13.226	13.48	?
words@vb1988m	@vb1988m	28.417	29.677	#смеётся#
words@vb1988m	@vb1988m	32.847	34.327	#смеётся#
words@vb1988m	@vb1988m	35.46	35.651	блин
words@vb1988m	@vb1988m	35.651	35.842	/
words@vb1988m	@vb1988m	35.842	36.033	мне
words@vb1988m	@vb1988m	36.033	36.224	тоже
words@vb1988m	@vb1988m	36.224	36.415	надо
words@vb1988m	@vb1988m	36.415	36.606	было
words@vb1988m	@vb1988m	36.606	36.797	прочитать
words@vb1988m	@vb1988m	43.277	43.523	как...
words@vb1988m	@vb1988m	43.523	43.769	какая
words@vb1988m	@vb1988m	43.769	44.015	у
words@vb1988m	@vb1988m	44.015	44.261	тебя
words@vb1988m	@vb1988m	44.261	44.507	какой
words@vb1988m	@vb1988m	44.507	44.753	у
words@vb1988m	@vb1988m	44.753	44.999	тебя
words@vb1988m	@vb1988m	44.999	45.245	хейт
